How often do you dine out?,Do you usually reserve a table before dining out?,"How often do you go out without planning to dine out, but end up doing so?","Would you like to know live, real-time table availability and seating capacity at restaurants?",Would you be interested in pre-ordering your food 10-15 minutes before arriving at the restaurant given the menu is provided?,Would you find it helpful to know the waiting time or line-ups at the restaurant before you arrive?,What is your gender?_Female,What is your gender?_Male,What is your gender?_Other,Which age group do you belong to?_18-22,Which age group do you belong to?_22-30,Which age group do you belong to?_30-40,Which age group do you belong to?_40-50,Which age group do you belong to?_50-60,Which age group do you belong to?_60+,"On average, how long do you usually stay at a restaurant to dine?_1-2 hours","On average, how long do you usually stay at a restaurant to dine?_30-45 minutes","On average, how long do you usually stay at a restaurant to dine?_45-60 minutes","On average, how long do you usually stay at a restaurant to dine?_Less than 30 minutes","On average, how long do you usually stay at a restaurant to dine?_More than 2 hours","If you reserve, how early do you usually book your table?_1 Day in advance","If you reserve, how early do you usually book your table?_1-2 Hours in advance","If you reserve, how early do you usually book your table?_2+ Days in advance","If you reserve, how early do you usually book your table?_3-6 Hours in advance","If you reserve, how early do you usually book your table?_6-12 Day in advance","If you reserve, how early do you usually book your table?_I don't usually reserve"
0,1,1,0,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-1,2,1,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-1,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,1,1,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,2,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,2,0,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,0,1,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,0,0,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,0,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,2,3,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,0,1,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,4,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,2,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,2,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,0,1,0,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-1,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,1,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,3,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,1,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-1,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,3,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,0,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,0,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,0,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,2,0,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,2,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,2,2,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-1,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,3,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,0,3,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,2,1,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-1,2,3,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,0,0,0,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0,2,4,1,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,0,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,3,1,0,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,3,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,1,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,2,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
